title,url,category,publication_date
A Dwelling for the Gods,https://www.theguardian.com/books/2002/jan/05/arts.highereducation,architecture,2002-01-05
Mesmerizing Mosque Ceilings,https://www.boredpanda.com/mosque-ceilings/,architecture,2014-11-10
How To Judge Quality in Clothing,https://putthison.com/how-to-judge-quality-in-clothing/,consumer goods,2018-03-26
Things I Recommend You Buy and Use,https://s8mb.medium.com/things-i-recommend-you-buy-and-use-second-edition-457a8e7163f6,consumer goods,2019-03-24
Shaving Is Too Expensive,https://www.johnwhiles.com/posts/shaving,consumer goods,2022-05-06
Your Stuff Is Actually Worse Now,https://www.vox.com/the-goods/23529587/consumer-goods-quality-fast-fashion-technology,consumer goods,2023-01-04
What Happened to Sweaters?,https://www.theatlantic.com/technology/archive/2023/10/sweater-clothing-quality-natural-fibers-fast-fashion/675600/,consumer goods,2023-10-10
"Why Every Microwave Sucks These Days, and the Death of Instant Pot",https://moth.monster/blog/microwaves/,consumer goods,2023-10-24
Review of American Eccentric Cinema,https://journals.openedition.org/inmedia/2342,cinema,2020
Is Culture Snobbery the New Resistance?,http://thekramerisnow.blogspot.com/2014/07/is-culture-snobbery-new-resistance.html,culture & politics,2014-07-07
A Decade of Sore Winners,https://theoutline.com/post/8484/sore-winners-decade,culture & politics,2019-12-31
Canada Is Fake,https://theoutline.com/post/8686/canada-is-fake,culture & politics,2020-02-19
What Moneyball-for-Everything Has Done to American Culture,https://www.theatlantic.com/newsletters/archive/2022/10/sabermetrics-analytics-ruined-baseball-sports-music-film/671924/,culture & politics,2022-10-30
We Live In The Age of The Bullshitter,https://www.currentaffairs.org/2022/12/we-live-in-the-age-of-the-bullshitter,culture & politics,2022-12-29
The Age of Average,https://www.alexmurrell.co.uk/articles/the-age-of-average,culture & politics,2023-03-20
"Everything I, an Italian, Thought I Knew About Italian Food Is Wrong",https://www.ft.com/content/6ac009d5-dbfd-4a86-839e-28bb44b2b64c,culture & politics,2023-03-23
Oops! We Automated Bullshit,https://www.cst.cam.ac.uk/blog/afb21/oops-we-automated-bullshit,culture & politics,2023-11-09
Playing to Win,https://www.sirlin.net/ptw,games,2000
"Angry Birds, Farmville and Other Hyperaddictive 'Stupid Games'",https://www.nytimes.com/2012/04/08/magazine/angry-birds-farmville-and-other-hyperaddictive-stupid-games.html,games,2012-04-08
Zendo: Design History,http://www.koryheath.com/zendo/design-history/,games,2013-10-27
Solvability,https://www.sirlin.net/articles/solvability,games,2014-09-13
Babamots' Homeworlds Site,https://jpeterbaker.github.io/homeworlds/site/index.html,games,2019-11-09
Hangman Is a Weird Game,https://www.youtube.com/watch?v=le5uGqHKll8,games,2020-04-23
What Consonant Clusters Are Possible?,https://www.tandfonline.com/doi/abs/10.1080/00437956.1978.11435661,language,1978
The Interpreter,https://www.newyorker.com/magazine/2007/04/16/the-interpreter-2,language,2007-04-09
Utopian for Beginners,https://www.newyorker.com/magazine/2012/12/24/utopian-for-beginners,language,2012-12-16
